title,account,views,likes,comments,reposts,ER%,date,url
🥶 A painful video to make! 😂 See how freezing my hand looks at the en...,@drjulie,382300,38900,244,2081,10.8,2026-05-14,https://www.tiktok.com/@drjulie/video/7639782476721769750
"Psychologically, everyone is obsessed with #offcampus because it did ...",@lindsay.fleminglpc,270000,15200,58,2283,6.5,2026-05-26,https://www.tiktok.com/@lindsay.fleminglpc/video/7644313090909162766
,@nadiaaddesi,222700,9840,48,1858,5.3,2026-04-25,https://www.tiktok.com/@nadiaaddesi/video/7632532282825280776
3 simple things you can start doing right now that will make you feel...,@therapyjeff,178700,11500,119,579,6.8,2026-04-30,https://www.tiktok.com/@therapyjeff/video/7634535698082581773
⚫️ What nobody tells you about grief & loss 🖤 👉 If your loss still fe...,@drjulie,148400,11200,160,1456,8.6,2026-06-20,https://www.tiktok.com/@drjulie/video/7653513809277078806
5 things you think are just personality traits but might actually be ...,@therapyjeff,148300,10100,221,1093,7.7,2026-04-27,https://www.tiktok.com/@therapyjeff/video/7633425192370375949
👉 For more on this check out link in my bio for discount links to my ...,@drjulie,147400,9448,59,347,6.7,2026-05-07,https://www.tiktok.com/@drjulie/video/7637181166587546902
7 bare-minimum beliefs you need if you don’t want to be in emotionall...,@therapyjeff,109200,12900,87,994,12.8,2026-06-09,https://www.tiktok.com/@therapyjeff/video/7649371519063297293
How are you gonna feel when IT finally happens? #mentalhealth #therapy,@therapyjeff,103300,5354,280,277,5.7,2026-04-28,https://www.tiktok.com/@therapyjeff/video/7633794347296640270
👉 Shy or Socially Anxious?  Which one resonates most for you? See my ...,@drjulie,94600,6721,68,319,7.5,2026-05-03,https://www.tiktok.com/@drjulie/video/7635676001409731862
3 reasons why feeling your dumb feelings is actually important.  #men...,@therapyjeff,89000,4906,84,363,6.0,2026-04-29,https://www.tiktok.com/@therapyjeff/video/7634169216907611406
"👉 Be careful, people-pleasing feels like it’s keeping you safe...unti...",@drjulie,88000,7165,77,429,8.7,2026-06-04,https://www.tiktok.com/@drjulie/video/7647581994620161302
It’s normal for couples to fight. When two people are close enough to...,@nadiaaddesi,86000,6086,25,1659,9.0,2026-05-22,https://www.tiktok.com/@nadiaaddesi/video/7642791694018055431
3 subtle but incredibly telling signs that the couples I see are gonn...,@therapyjeff,72300,6798,117,249,9.9,2026-06-01,https://www.tiktok.com/@therapyjeff/video/7646412131490876686
Elon Musk became the first trillionaire today. #mentalhealth #therapy,@therapyjeff,71000,7735,171,393,11.7,2026-06-12,https://www.tiktok.com/@therapyjeff/video/7650562012379942158
